"store_id";"store_name";"city";"state";"product_id";"product_name";"brand_name";"category_name";"stock_remaining";"stock_status"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";184;"Trek Domane SL 6 Disc - 2018";"Trek";"Road Bikes";4;"Low Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";183;"Trek Domane SL 5 Women's - 2018";"Trek";"Road Bikes";11;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";182;"Trek Domane SL 5 Disc - 2018";"Trek";"Road Bikes";28;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";181;"Trek Domane SL 5 - 2018";"Trek";"Road Bikes";19;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";180;"Trek Domane AL 3 Women's - 2018";"Trek";"Road Bikes";5;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";179;"Trek Domane AL 3 - 2018";"Trek";"Road Bikes";16;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";178;"Trek Domane AL 2 - 2018";"Trek";"Road Bikes";23;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";177;"Trek Domane SLR 6 Disc - 2018";"Trek";"Road Bikes";19;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";176;"Trek Madone 9 Frameset - 2018";"Trek";"Road Bikes";11;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";175;"Trek Domane SLR Frameset - 2018";"Trek";"Road Bikes";2;"Low Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";174;"Trek Domane SLR Disc Frameset - 2018";"Trek";"Road Bikes";26;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";173;"Trek Domane ALR Frameset - 2018";"Trek";"Road Bikes";2;"Low Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";172;"Trek Domane ALR Disc Frameset - 2018";"Trek";"Road Bikes";3;"Low Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";171;"Trek Domane SL 6 - 2018";"Trek";"Road Bikes";3;"Low Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";170;"Trek CrossRip 2 - 2018";"Trek";"Road Bikes";14;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";169;"Trek Emonda SLR 8 - 2018";"Trek";"Road Bikes";25;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";168;"Surly Straggler - 2018";"Surly";"Road Bikes";0;"Out of Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";167;"Surly ECR Frameset - 2018";"Surly";"Road Bikes";28;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";166;"Trek Domane AL 2 Women's - 2018";"Trek";"Road Bikes";23;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";165;"Trek 1120 - 2018";"Trek";"Road Bikes";16;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";164;"Surly Straggler 650b - 2018";"Surly";"Road Bikes";15;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";163;"Surly Pack Rat - 2018";"Surly";"Road Bikes";0;"Out of Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";162;"Trek Emonda SL 6 Disc - 2018";"Trek";"Road Bikes";14;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";161;"Surly ECR - 2018";"Surly";"Road Bikes";17;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";160;"Trek Emonda SLR 6 - 2018";"Trek";"Road Bikes";0;"Out of Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";159;"Trek Emonda ALR 6 - 2018";"Trek";"Road Bikes";18;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";158;"Trek CrossRip 1 - 2018";"Trek";"Road Bikes";11;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";157;"Trek Domane SL Frameset Women's - 2018";"Trek";"Road Bikes";25;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";156;"Trek Domane SL Frameset - 2018";"Trek";"Road Bikes";13;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";155;"Trek Domane SLR 9 Disc - 2018";"Trek";"Road Bikes";8;"In Stock"
1;"Santa Cruz Bikes";"Santa Cruz";"CA";154;"Trek Domane SLR 6 Disc Women's - 2018";"Trek";"Road Bikes";13;"In Stock"
